A British officer
A Californian
A. L. O. E.
Aaberg, J. C.
Barbosa, José
Barbosa, Vicente
Barbour, A. Maynard
Barbour, John
Barbour, Ralph Henry
Barbusse, Henri
Barbé, Louis A.
Barce, Elmore
Barcia, Roque
Barclay, Edgar
Barclay, Florence L.
Barclay, Harold
Barclay, Hubert, Mrs.
Barclay, Lorne W.
Barclay, Robert
Barclay, Vera C.
Barco Centenera, Martín del
Barcynska, Countess
Bardsley, Charles Wareing Endell
Bardswell, Frances A.
Bardwell, Harrison
Barefoot, D. W.
Barefoot, Wesley
Bareilles, Bertrand
Barff, Frederick Settle
Barfield, Owen
Barfus, E. von
Barham, G. Basil
Barhite, Jared
Barhydt, Jerome A.
Barine, Arvède
Baring, Maurice
Baring-Gould, S.
Barker, B.
Barker, C. Hélène
Barker, Edward Harrison
Barker, George F.
Barker, J. Ellis
Barker, James Nelson
Barker, John Marshall
Barker, Joseph
Barker, Lady
Barker, M. H.
Barker, Nettie Garmer
Barker, Sale, Mrs.
Barker, Shirley
Barker, Virgil
Barkley, Henry C.
Barksdale, Lena
Barley, Alfred H.
Barlow, A. R.
Barlow, George
Barlow, Glyn
Barlow, Jane
Barlow, Joel
Barlow, Jon C.
Barlow, P. W.
Barlow, R. H.
Barlow, Thomas Lambert
Barman, Christian Augustus
Barnard, Charles
Barnard, Charles Inman
Barnard, Ella K.
Barnard, Guy Christian
Barnard, William Francis
Barnes, Albert
Barnes, Annie Maria
Barnes, Charles J.
Barnes, Charles R.
Barnes, Djuna
Barnes, Earl
Barnes, Elmer Tracey
Barnes, Frank
Barnes, James
Barnes, Orange Perry
Barnes, Will C.
Barnes, William
Barnes, William Horatio
Barnes-Grundy, Mabel
Barnett, Ada
Barnett, C. Z.
Barnett, Evelyn Snead
Barnett, Lionel D.
Barnett, S. A.
Barnett, S. A., Mrs.
Barney, J. Stewart
Barney, Natalie Clifford
Barnfield, Richard
Barnitz, David Park
Barnum, P. T.
Barnum, Richard
Barnum, Vance
Baroja, Pío
Baron, David
Baron, Monsieur
Barr, Amelia E.
Barr, James, Captain
Barr, John
Barr, Robert
Barr, Stephen
Barranco, Mariano
Barreto, Lima
Barreto, Moniz
Barrett, Charles Raymond
Barrett, Eaton Stannard
Barrett, Florence Elizabeth
Barrett, Francis
Barrett, Frank
Barrett, James Francis
Barrett, James W., Sir
Barrett, John
Barrett, Katharine Ellis
Barrett, Michael
Barrett, Orvey S.
Barrett, Philip
Barrett, Robert Emmett
Barrett, S. A.
Barrett, W. G.
Barrie, J. M.
Barrili, Anton Giulio
Barrillon, François-Guillaume
Barrin, Jean
Barrington, Jonah, Sir
Barrington, Richard Manliffe
Barrington, Russell, Mrs.
Barrière, Théodore
Barron, Clarence W.
Barron, Edward
Barron, James
Barron, S. B.
Barroso, Carlos
Barrow, Isaac
Barrow, John, Sir
Barrow, Katherine Mary
Barrow, Sarah L.
Barrows, David P.
Barrows, E. P.
Barrucand, Victor
Barrus, Clara
Barry, Alfred
Barry, Fanny
Barry, Florence V.
Barry, Iris
Barry, J. G. H.
Barry, John Arthur
Barry, John D.
Barry, Joseph
Barry, Richard
Barrère, Albert
Barrès, Maurice
Barschdorff, Fritz
Bartell, Edmund
Barth, Christian Gottlob
Barth, Heinrich
Bartholdt, Richard
Bartholomew, A. T.
Bartholomew, J. G.
Bartholomew, Stephen
Barthélemy, J.-J.
Bartlett, Alden Eugene
Bartlett, Alice E.
Bartlett, Bob
Bartlett, D. W.
Bartlett, Elizabeth
Bartlett, Frances
Bartlett, Frederick Orin
Bartlett, George Willard
Bartlett, John Russell
Bartlett, Landell
Bartlett, Paul Alexander
Bartlett, Steven J.
Bartlett, Vernon
Bartlett, W. C.
Bartley, James Avis
Bartley, Nalbro
Bartol, C. A.
Barton, Ardelia Maria Cotton
Barton, Clara
Barton, Frank Townend
Barton, George
Barton, George A.
Barton, J. E.
Barton, James L.
Barton, May Hollis
Barton, Roy Franklin
Barton, Samuel
Barton, William
Barton, William E.
Bartram, William
Bartrum, Edward
Bartsch, Rudolf Hans
Barué, Sulpice
Barwell, Noel
Bary, Erwin von
Barzilai, Salvatore
Barzini, Luigi
Baró, Teodoro
Bascom, Caroline Crowninshield
Bascome, Edward
Basedow, Herbert
Baserga, Renato
Bashford, H. H., Sir
Bashkirtseff, Marie
Basile, Giambattista
Basilius Valentinus
Baskervill, William Malone
Baskerville, Beatrice C.
Bass, Cora C.
Bass, George
Bass, William Wallace
Bassell, Burr
Bassett, John Spencer
Bassett, Sara Ware
Bassewitz, Gerdt von
Bassnett, Thomas
Bastard, Algernon
Bastiaanse, Frans
Bastian, H. Charlton
Bastianelli, Giannotto
Bastiat, Frédéric
Bastide, Charles
Bastin, S. Leonard
Bastos, Teixeira
Batcheller, Birney C.
Bate, Henry
Bate, John
Bateman, Frederick, Sir
Bateman, H. M.
Bateman, Jas.
Bateman, May
Bateman, Reginald
Bates, Arlo
Bates, Clara Doty
Bates, E. Katherine
Bates, E. S.
Bates, Frank A.
Bates, Harry
Bates, Henry Walter
Bates, Joseph
Bates, Katharine Lee
Bates, Lizzie
Bates, Loïs
Bates, Oric
Bates, Walter
Bateson, William
Bath, W. Harcourt
Batka, Richard
Batres Jáuregui, Antonio
Battell, Andrew
Batten, John M.
Battersby, H. S.
Battershall, Jesse P.
Battison, Edwin A.
Batty, Beatrice
Batz-Trenquelléon, Charles de
Batěk, Alexandr
Baucher, François
Baudelaire, Charles
Baudesson, Henry
Baudin, Maurice
Baudissin, Eva Gräfin von
Baudissin, Wolf Ernst Hugo Emil, Graf von
Bauditz, Sophus
Baudot, Victor
Baudouin, Charles
Baudoux, Georges
Bauer, Marion
Bauer, Max
Baughan, Edward Algernon
Baughan, Rosa
Baukhage, Hilmar R.
Baum, L. Frank
Baum, Oskar
Baum, Paull F.
Bauman, G. A.
Baumann, Emile
Baumann, Oskar
Baumhoff, Martin A.
Baur, Erwin
Bavinck, Herman
Bax, Clifford
Bax, Ernest Belfort
Baxter, Beverley
Baxter, Leon H.
Baxter, Richard
Bayard, Jean-François-Alfred
Bayersdorfer, Adolph
Bayles, W. Harrison
Bayley, Abner
Bayley, Emilius, Sir
Bayley, Harold
Bayley, Solomon
Bayliss, Clara Kern
Bayliss, W. D.
Bayly, A. Eric
Bayly, Mrs.
Bayne, A. D.
Bayne, Mary Addams
Bayne, Samuel G.
Baynes, Ernest Harold
Bazancourt, César Lecat, baron de
Bazin, René
Bazzero, Ambrogio
Bazzoni, Giambattista
Beach, Belle
Beach, Charles Amory
Beach, Edward L.
Beach, Lewis
Beach, Rex
Beach, Seth Curtis
Beadle, Charles
Beadnell, H. J. L.
Beal, F. E. L.
Beal, Merrill D.
Beal, W. J.
Bealby, J. T.
Beale, Anne
Beale, Charles Willing
Beale, Dorothea
Beale, Sophia
Beals, Christine
Beames, John
Beamish, Richard J.
Bean, C. E. W.
Bean, Florence O.
Beard, Adelia B.
Beard, Charles
Beard, Charles A.
Beard, Daniel Carter
Beard, Frank
Beard, James Melville
Beard, Lina
Beard, Mary Ritter
Beard, Patten
Beard, Sidney Hartnoll
Beardslee, Clark S.
Beardsley, Aubrey
Beardsley, Henry Mahan
Bearne, Mrs.
Bearse, Clarkson P.
Beasley, Frederic W.
Beasley, T. D.
Beatson, A. M.
Beattie, James
Beattie, William
Beatty, John
Beatty, John W.
Beatty, Kenneth James
Beatty, William
Beauchesne, A. de
Beaufort d'Hautpoul, Anne Marie, comtesse de
Beaufort, H. L. de
Beaugrand, Honoré
Beaumarchais, Pierre Augustin Caron de
Beaume, Georges
Beaumont, Charles
Beaumont, Francis
Beaumont, Grace
Beaumont, Greg
Beaumont, Gustave de
Beaunier, André
Beauregard, G. T.
Beauregard, Gérard de
Beauvilliers, A. B.
Beavan, Arthur H.
Beavan, F., Mrs.
Beaven, James
Beaverbrook, Max Aitken, Baron
Beazley, C. Raymond
Bebel, August
Bechdolt, Frederick R.
Becher, Johannes Robert
Bechstein, Johann Matthäus
Bechstein, Ludwig
Bechtel, John Hendricks
Beck, Amanda K.
Beck, C. C.
Beck, Clyde
Beck, James M.
Beck, L. Adams
Becke, Louis
Becker, Bernard H.
Becker, Carl Heinrich
Becker, Carl L.
Becker, Julius Maria
Becker, Karl Friedrich
Becker, Tracy C.
Beckerman, Bernard
Beckett, William
Beckford, William
Beckmann, Johann
Beckwith, Martha Warren
Becq de Fouquières, L.
Beddard, Frank E.
Beddoes, Thomas Lovell
Bede, Cuthbert
Bede, the Venerable, Saint
Bedford, H. Louisa
Bedford-Jones, H.
Bedini, Silvio A.
Bedworth, Thomas
Bee, James W.
Beebe, Henry S.
Beebe, Iola
Beebe, Mabel Borton
Beebe, William
Beech, Franklin
Beecham, John Charles
Beecher, Catharine Esther
Beecher, Edward
Beecher, H. W., Mrs.
Beecher, Henry Ward
Beecher, William Constantine
Beechey, Frederick William
Beechey, H. W.
Beeching, H. C.
Beeckman, Ross
Beede, Clara Frances McKee
Beedham, R. J.
Beeg, Marie
Beekman, A. A.
Beeks, James C.
Beeley, Arthur L.
Beeman, Herbert
Been, Johannes Hendrik
Beer, Margrieta
Beer, Max
Beer, Thomas
Beer-Hofmann, Richard
Beerbohm, Julius
Beerbohm, Max, Sir
Beers, Clifford Whittingham
Beers, Fannie A.
Beers, Henry A.
Beers, R. W.
Beery, Ray Coppock
Beesley, Lawrence
Beesly, A. H.
Beesly, Edward Spencer
Beeston, Joseph Lievesley
Beethoven, Ludwig van
Beeton, Mrs.
Begbie, Harold
Beggs, Thomas
Behn, Aphra
Behnke, Emil
Behnsch, Ottomar
Behrend, Gudda, Fru
Behring, Emil von
Beibitz, J. H.
Beirne, Francis F.
Beirt Fhear
Beirão, Mário Pires Gomes
Bekker, Paul
Belasco, David
Belch, William
Belcher, Joseph
Belcourt, N. A.
Belding, David Lawrence
Belgioioso, Cristina
Belgiojoso, Carlo
Belgium. Commission d'enquête sur la violation des règles du droit des gens, des lois et des coutumes de la guerre
Belgium. Ministère de la défense nationale
Belgrave, Charles Dalrymple, Sir
Belgrave, Dalrymple J.
Belinfante, Emmy J.
Belisle, D. W.
Belknap, Helen Olive
Belknap, Reginald Rowan
Bell, Alexander Graham
Bell, Aubrey F. G.
Bell, Clive
Bell, Edward Allen
Bell, F. J.
Bell, F. McKelvey
Bell, Florence Eveleen Eleanore Olliffe, Lady
Bell, Frank
Bell, George W.
Bell, Gertrude Lowthian
Bell, Henry Glassford
Bell, J. J.
Bell, James
Bell, Joseph
Bell, Lilian
Bell, Louie M.
Bell, Louis
Bell, Lucia Chase
Bell, M. C.
Bell, Malcolm
Bell, R. S. Warren
Bell, Ralph W.
Bell, Robert
Bell, Robert Anning
Bell, Robert Bloomer Hare
Bell, Sanford
Bell, T. F.
Bell, Thomas J.
Bell, Walter Dalrymple Maitland
Bell, William Dixon
Bellamy, Edward
Bellamy, Elizabeth W.
Bellamy, Thomas, of Guernsey
Bellasis, E. S.
Bellasis, Edward
Bellett, George
Bellett, J. G.
Bellew, Francis John
Bellew, Frank
Bellew, H. W.
Bellinger, Martha Idell Fletcher
Bellman, Carl Michael
Belloc, Hilaire
Bellot, Jacques
Bellows, Henry W.
Belo, Francesco
Beloe, William
Belot, Adolphe
Belt, Thomas
Belton, James
Beltrame, G.
Beltramelli, Antonio
Bely, Andrey
Bemister, Margaret
Bemrose, William
Ben Ibrahim, Sliman
Benamozegh, Elia
Benavente, Jacinto
Benchley, Robert
Bender, Millicent Schwab
Bender, William
Bendz, Emma
Benecke, E. F. M.
Benecke, Georg Friedrich
Benedek, Elek
Beneden, P. J. van
Benedict, Bertram
Benedict, Elsie Lincoln
Benedict, Francis Gano
Benedict, Laura Estelle Watson
Benedict, Ralph Paine
Benedict, Saint, Abbot of Monte Cassino
Benedictsson, Victoria
Benedix, Roderich
Beneke, F. W.
Benezet, Anthony
Bengough, Elisa Armstrong
Bengough, J. W.
Bengts, Josefina
Benham, W. B.
Benham, William
Beniczkyné Bajza, Lenke
Benitez, Conrado O.
Benjamin, René
Benjamin, S. G. W.
Benn, Alfred William
Benn, Gottfried
Bennet, Robert Ames
Bennett, Alexander Hughes
Bennett, Arnold
Bennett, Charles E.
Bennett, Charles H.
Bennett, Cyril
Bennett, Edward
Bennett, Edward T.
Bennett, Edward Turner
Bennett, Ella M. Hart
Bennett, Emerson
Bennett, Ernest Nathaniel
Bennett, Ethel Hume
Bennett, G. J.
Bennett, George
Bennett, George Matthews
Bennett, Henry Holcomb
Bennett, Hugh Garner
Bennett, Ida D.
Bennett, John
Bennett, Keith
Bennett, Mark Herbert Joseph
Bennett, R. A. R.
Bennett, Rolf
Bennett, Virginia
Bennett, W. H.
Bennion, Adam S.
Bennitt, Ralph
Benoît, Pierre
Benrath, Henry
Bensel, J. A.
Benson, Albert H.
Benson, Allan L.
Benson, Alpha Banta
Benson, Arthur Christopher
Benson, B. K.
Benson, E. F.
Benson, Edwin
Benson, George
Benson, Irene Elliott
Benson, Luther
Benson, Margaret
Benson, Robert Hugh
Benson, Roy
Benson, Samuel Cranston
Benson, Simon
Benson, Stella
Benson, Thomas William
Benson, William
Bensusan, S. L.
Bent, Arthur Cleveland
Bent, J. Theodore
Bent, Theodore, Mrs.
Bente, F.
Bentham, Jeremy
Bentley, Charles S.
Bentley, E. C.
Bentley, Mildred Maddocks
Bentley, W. Holman
Bentley, William E.
Benton, Caroline French
Benton, Elbert Jay
Benton, Frank
Benton, Joel
Benton, Josiah H., Jr.
Benton, Rita
Benton, Thomas Hart
Bentwich, Norman
Bentzon, Th.
Benwell, John
Benét, Stephen Vincent
Benét, William Rose
Berard, Louis
Berchet, Giovanni
Berchet, Guglielmo
Berchon, Charles
Bercovici, Konrad
Berczik, Á.
Berdoe, Edward
Berens, E. M.
Berens, Edward
Berens, Fred.
Berens, Lewis Henry
Berenson, Bernard
Beresford, Charles Edward de la Poer
Beresford, Charles William De la Poer Beresford, Baron
Beresford, J. D.
Berg, Barbara
Berg, C. O.
Berg, Clara
Berg, Daniel
Berg, Fridtjuv
Bergbom, Kaarlo Johan
Bergen, Fanny D.
Bergengren, Ralph
Berger, E. W.
Berger, Henning
Berger, Ludwig
Berger, Marcel
Bergerat, Emile
Bergh van Eysinga-Elias, Jeanette van den
Bergh, John
Bergholm, A. H.
Bergman, Hjalmar
Bergman, Johan Albert
Bergman, Torbern
Bergs, Arveds
Bergson, Henri
Bergsøe, Vilhelm
Beringer, C.
Beringer, J. J.
Berkebile, Donald H.
Berkeley, Anthony
Berkeley, Edmund Callis
Berkeley, George
Berkeley, Reginald
Berkley, E.
Berkman, Alexander
Berlet, Bruno
Berlioz, Hector
Berlyn, Peter
Berman, Louis
Bermbach, Willibald
Bernanos, Georges
Bernard, Auguste
Bernard, Augustin
Bernard, Charles de
Bernard, Claude
Bernard, Frédéric
Bernard, Marguerite
Bernard, Richard Boyle
Bernard, Tristan
Bernard, W. D.
Bernard, of Clairvaux, Saint
Bernard‏, Fernand‏ Abraham
Bernays, Edward L.
Berndtson, Fredrik
Berne-Bellecour, Jean
Berners, Juliana
Bernhard, Duke of Saxe-Weimar-Eisenach
Bernhard, Marie
Bernhardi, Friedrich von
Bernhardt, Sarah
Bernheimer, Louis
Bernier, Donald W.
Bernier, Hector
Bernoulli, Daniel
Bernstein, Aaron
Bernstein, Aaron David
Bernstein, Eduard
Bernstein, Herman
Bernstorff, Johann Heinrich, Graf von
Bernát, Gáspár
Berquin, M.
Berrick, F. H.
Berry, Arthur
Berry, Christopher
Berry, Don
Berry, Elmer
Berry, Erick
Berry, Flora E.
Berry, James
Berry, R. L.
Berryman, John
Bersch, Josef
Bersezio, Vittorio
Bertens, H.
Berthelot, M.
Berthier, Ferdinand
Berthier, Louis-Alexandre
Berthold, Victor Maximilian
Berthollet, Claude-Louis
Berthoud, Eugène
Berthoud, S. Henry
Bertini, Giuseppe
Bertolini, Gino
Berton, Pierre
Berton, Pierre, Mme.
Bertram, James Glass
Bertram, Robert Aitkin
Bertram, Robert J. S.
Bertrana, Prudenci
Bertrand, Aloysius
Bertrand, Georges Etienne
Bertrand, H.
Bertrand, Huguette
Bertrand, Joseph
Bertrand, Louis
Beruete y Moret, A. de
Berze Nagy, János
Berzelius, Jöns Jakob, friherre
Besana, Carlo
Besant, Annie
Besant, W. H.
Besant, Walter
Besier, Rudolf
Beskow, Elisabeth Maria
Beskow, G. E.
Besnier, Pierre
Bessette, Arsène
Bessken, Donna P.
Best, Harry
Best, Pieter
Beste, Henry Digby
Bester, Alfred
Beston, Henry
Betagh, William
Betanzos, Juan de
Betham, Matilda
Betham-Edwards, Matilda
Bethge, Hans
Bethnal Green Museum
Bethune, John Elliot Drinkwater
Bethusy-Huc, Valeska, Gräfin von
Betson, Thomas
Bettany, G. T.
Bettauer, Hugo
Betteloni, Vittorio
Betten, Francis S.
Bettencourt, Emiliano Augusto de
Bettencourt, José de Sá
Bettoni, Paolo
Betts, George Herbert
Betts, Lillian William
Betts, M. C.
Bettòli, Parmenio
Betz, Gerardus Henri
Bevan, E. J.
Bevan, Edward
Bevan, J. O.
Bevan, Samuel
Bevan, Tom
Bevan, William
Bevan, Wilson Lloyd
Bevens, William E.
Beveridge, Albert J.
Beverley, Robert
Bevington, L. S.
Bewick, Thomas
Bewsher, F. W.
Bewsher, M. E., Mrs.
Bewsher, Paul
Bey, Aleph
Beyens, baron
Beyer, H. Otley
Beyer, William Gray
Beyerlein, Franz Adam
Beynon, William George Laurence, Sir
Bezold, Gustav von
Bezruč, Petr
Beöthy, László
Beöthy, Zsolt
Bianchi, Arturo
Bianco, Carlo
Bianco, Margery Williams
Biancolli, Louis
Biao, Xuahua
Biart, Lucien
Bibaud, Maximilien
Bibb, Henry
Bibesco, Elizabeth
Bibra, Ernst, Freiherr von
Bice, C.
Bichat, Xavier
Bickerdyke, John
Bickers, George
Bickerstaff, Isaac
Bicket, James
Bickford, Faith
Bickmore, Albert S.
Biddle, Violet Purton
Biddolf, John‏
Biddulph, Elizabeth Philippa, Baroness
Biddulph, J.
Biddulph, Thomas Tregenna
Bidwell, Austin
Bidwell, Daniel Doane
Bidwell, Shelford
Bie, Oskar
Biedenkapp, Georg
Bienenstein, Karl
Bierbaum, Otto Julius
Bierbower, Austin
Bierce, Ambrose
Bierens de Haan, J. D.
Bierman, Agnes
Biermann, Georg
Biernatzki, Johann Christoph
Biery, Terry L.
Biese, Alfred
Bigandet, Paul Ambroise
Bigelow, Glenna Lindsley
Bigelow, Jacob
Bigelow, John
Bigelow, Mary Ann H. T.
Bigelow, Maurice A.
Bigelow, W. D.
Biggers, Earl Derr
Bigges, Walter
Biggle, Lloyd, Jr.
Biggs, Charlotte
Biggs, William
Bigwood, Inez
Bilbrough, E. Ernest
Bilby, Julian W.
Bilderdijk, Willem
Bilguer, Johann Ulrich
Bill o'th' Hoylus End
Bill, I. E.
Bill, Ledyard
Billany, George
Billinghurst, Percy J.
Billings, E. R.
Billings, John Davis
Billings, Josh
Billings, M. E.
Billotey, Pierre
Bilse, Fritz Oswald
Binder, Aloysius
Binder, Eando
Binder, Otto
Binding, Karl
Bindloss, Harold
Binet, Alfred
Binger, Louis Gustave
Bingham, Clifton
Bingham, Edfrid A.
Bingham, Helen
Bingham, Hiram
Bingham, Kate Boyles
Bingham, Millicent Todd
Bingley, Thomas
Bingley, William
Bini, Carlo
Binney, Thomas
Binning, Hugh
Binns, Charles Fergus
Binns, Henry Bryan
Binns, Ottwell
Binyon, Laurence
Binzer, Ina von
Bion, of Phlossa near Smyrna
Birch, Samuel
Bird, Arthur
Bird, Frederic Mayer
Bird, H. E.
Bird, Isabella L.
Bird, J. Malcolm
Bird, Richard
Bird, Robert Montgomery
Bird, W. D.
Birdsall, Ralph
Birge, Julius Charles
Biriukov, Pavel Ivanovich
Birkenhead, Frederick Edwin Smith, Earl of
Birkhead, Alice
Birkhead, Edith
Birkmaier, Elizabeth G.
Birmingham, George A.
Birnbaum, Max
Birney, Catherine H.
Birrell, Augustine
Birrell, Francis
Birt, Theodor
Birt, William Radcliff
Biré, Edmond
Biró, Lajos
Bishop, Austin
Bishop, Ernest S.
Bishop, Farnham
Bishop, Georgianna M.
Bishop, Giles
Bishop, Harry Coghill Watson
Bishop, Nathaniel H.
Bishop, Philip W.
Bishop, Zealia B.
Bishopp, F. C.
Bisiker, W.
Bisland, Elizabeth
Bissell, George P.
Bissell, Mary L.
Bisset, Robert
Bisson, Alexandre
Bithell, Jethro
Bitmead, Richard
Bitting, A. W.
Bitting, K. G.
Bittinger, Marillis
Bixby Smith, Sarah
Bixby, Jerome
Bixian, Zou
Bixler, William Allen
Bizet, Georges
Bizzarri, Alessandro
Bizzoni, Achille
Björklund, Gustaf
Björkman, Edwin
Björlin, Gustaf
Bjørnson, Bjørnstjerne
Black Hawk, Sauk chief
Black, Alexander
Black, C. B.
Black, Clementina
Black, Edith Ferguson
Black, George Fraser
Black, Helen C.
Black, Hugh
Black, Jack
Black, Joseph
Black, Leonard
Black, Madeleine
Black, Margaret Moyes
Black, Patti Carr
Black, William
Blackbird, Andrew J.
Blackburn, Douglas
Blackburn, Henry
Blackburn, Hugh
Blacker, C. P.
Blacker, J. F.
Blacker, W.
Blackford, Charles Minor
Blackford, Katherine M. H.
Blackford, Mrs.
Blackie & Son
Blackie, Christina
Blackie, John Stuart
Blacklock, Ambrose
Blackmar, Frank W.
Blackmore, R. D.
Blackmore, Richard, Sir
Blackstone, William, Sir
Blackwell, Elizabeth
Blackwell, John
Blackwell, Sarah Ellen
Blackwood, Algernon
Blackwood, Robert Melvin
Blade, Alexander
Blade, Zoë
Blades, Leslie Burton
Blades, William
Blagdon, Francis William
Blaikie, William
Blaikie, William Garden
Blain, Mary E.
Blaine, James Gillespie
Blaine, John
Blair, D. B.
Blair, Robert
Blaisdell, Albert F.
Blaisdell, Mary Frances
Blake, Emily Calvin
Blake, Francis G.
Blake, G. L.
Blake, Henry Arthur, Sir
Blake, J. F.
Blake, J. P.
Blake, John Y. Fillmore
Blake, M. M.
Blake, Mary
Blake, Robert Bruce
Blake, William
Blakeborough, Richard
Blakely, Gilbert Sykes
Blakeney, Robert
Blakeslee, B. F.
Blakman, John
Blanc, Henry
Blanch, Luigi
Blanchan, Neltje
Blanchard, Amy Ella
Blanchard, C. J.
Blanchard, Jonathan
Blanchard, Lucy Mansfield Blanchard
Blanchard, Phyllis
Blanche, August
Blanche, Jacques-Émile
Blanche, Émile
Blanckley, Thomas Riley
Blancké, Wilton W.
Blanco White, Amber Reeves
Blanco, A. E.
Blanco-Fombona, Rufino
Bland, Hubert
Bland, J. O. P.
Bland, John Salkeld
Bland, Rosamund E. Nesbit
Bland, Salem Goldworth
Blane, Gilbert, Sir
Blaney, Henry R.
Blank, Clair
Blankensee, Theo von
Blasco Ibáñez, Vicente
Blasco, Cosme
Blascoer, Frances
Blass, Ernst
Blass, Friedrich
Blatch, Harriot Stanton
Blatchford, Robert
Blaumanis, Rūdolfs
Blavatsky, H. P.
Blaze de Bury, Fernande
Bleackley, Horace
Blease, W. Lyon
Bledsoe, Albert Taylor
Bleek, W. H. I.
Blessington, Marguerite, Countess of
Blewett, Jean
Blewitt, Reginald James
Bleyer, Willard Grosvenor
Blicher, Steen Steensen
Blicher-Clausen, J.
Blicq, A. Stanley
Bligh, William
Blind, Mathilde
Blink, Hendrik
Blish, James
Bliss, Frank Chapman
Bliss, Sands, & Foster
Bliss, Sylvester
Blixen, Karen
Bloch, Iwan
Bloch, Robert
Blodgett, Mabel Fuller
Bloem, Walter
Bloem, Walter Julius
Blok, A.
Blom, E. J.
Blomberg, Con
Blomfield, George Becher
Blommaert, W.
Blondeau, Nicolas
Bloodgood, Wheeler P.
Bloomer, D. C.
Bloomfield, Leonard
Bloomfield, Maurice
Bloomfield, Nathaniel
Bloomfield, Robert
Blore, George Henry
Bloss, C. A.
Blossom, Henry
Blossom, Thomas
Blot, Pierre
Blotner, Joseph
Bloundelle-Burton, John
Blount, James H.
Blount, Thomas
Bloxam, John Francis
Bloxam, Matthew Holbeche
Bloy, Léon
Blue Ridge Duo
Bluett, Antony
Blum, Hans
Blumauer, Aloys
Blumenbach, Johann Friedrich
Blumenthal, Daniel
Blumentritt, Ferdinand
Blunden, Edmund
Blunt, Anne, Lady
Blunt, Fanny Janet Sandison
Blunt, John Henry
Blunt, John J.
Blunt, Katharine
Blunt, Walter
Blunt, Wilfrid Scawen
Bluteau, Rafael
Bly, Nellie
Blyth, Alexander Wynter
Blyth, James
Blythe, LeGette
Blythe, Samuel G.
Blyton, Enid
Blåfield, Karl Otto Johan
Blégny, Monsieur de
Blémont, Emile
Blümner, Hugo
Boak, Arthur E. R.
Boardman, Harry Clow
Boardman, Timothy
Boare, G.
Boas, Franz
Boase, Frederic
Boatright, Mody C.
